misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,15670965,新たな展開を見せる映像表現技術「プロジェクションマッピング」プロジェクションマッピング登場の歴史と展望,新たな展開を見せる映像表現技術「プロジェクションマッピング」プロジェクションマッピング登場の歴史と展望,[白井暁彦],[白井暁彦],null,null,null,null,null,2013-10-25,"O plus E","O plus E",null,408,1265,1272,jpn,false,false,null,null,null,null,0911-5943,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302295395652154,null,false,disclosed
insert,merge,null,15670968,マンガ没入型VRエンタテイメントシステムにおけるコンテンツ制作手法,マンガ没入型VRエンタテイメントシステムにおけるコンテンツ制作手法,"[小出雄空明,國富彦岐,藤村航,奈良優斗,白井暁彦]","[小出雄空明,國富彦岐,藤村航,奈良優斗,白井暁彦]",null,null,null,null,null,2013-09-18,日本バーチャルリアリティ学会大会論文集(CD-ROM),日本バーチャルリアリティ学会大会論文集(CD-ROM),18th,null,ROMBUNNO.33B-1,null,jpn,false,false,null,null,null,null,1349-5062,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302214726191616,null,false,disclosed
insert,merge,null,15670967,VRエンタテイメントシステムのためのリアルタイムマンガ風画像生成シェーダーの開発,VRエンタテイメントシステムのためのリアルタイムマンガ風画像生成シェーダーの開発,"[藤村航,小出雄空明,奈良優斗,白井暁彦]","[藤村航,小出雄空明,奈良優斗,白井暁彦]",null,null,null,null,null,2013-09-18,日本バーチャルリアリティ学会大会論文集(CD-ROM),日本バーチャルリアリティ学会大会論文集(CD-ROM),18th,null,ROMBUNNO.13C-5,null,jpn,false,false,null,null,null,null,1349-5062,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302228915096587,null,false,disclosed
insert,merge,null,15670966,スマートフォンの加速度センサを用いた微小不随意運動検出による動画視聴時の笑い評価手法,スマートフォンの加速度センサを用いた微小不随意運動検出による動画視聴時の笑い評価手法,"[北田大樹,鈴木伸之介,白井暁彦]","[北田大樹,鈴木伸之介,白井暁彦]",null,null,null,null,null,2013-09-18,日本バーチャルリアリティ学会大会論文集(CD-ROM),日本バーチャルリアリティ学会大会論文集(CD-ROM),18th,null,ROMBUNNO.13A-1,null,jpn,false,false,null,null,null,null,1349-5062,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302233218858677,null,false,disclosed
insert,merge,null,15670828,スマートフォンの加速度センサを用いた微小不随意運動検出による動画視聴時の笑い評価手法,"L-PoD : evaluation method of micro involuntary muscle movement of laughing in video watching using acceleration sensor in smartphone","[北田 大樹,鈴木 伸之介,白井 暁彦]",null,null,null,null,[日本バーチャルリアリティ学会],null,2013-09-18,"日本バーチャルリアリティ学会大会論文集 Proceedings of the Virtual Reality Society of Japan, Annual Conference",null,18,null,162,165,jpn,false,false,null,null,null,null,1349-5062,null,http://ci.nii.ac.jp/naid/40019838825,null,false,disclosed
insert,merge,null,15670970,瞬刊少年マルマル,"Manga Generator","[奈良優斗,小出雄空明,藤村航,白井暁彦]","[NARA YUTO,KOIDE YUKUA,FUJIMURA WATARU,SHIRAI AKIHIKO]",null,null,null,null,null,2013-03-08,映像情報メディア学会技術報告,映像情報メディア学会技術報告,37,"17(AIT2013 33-119)",125,128,jpn,false,false,null,null,null,null,1342-6893,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302235239927426,null,false,disclosed
insert,merge,null,15670969,科学館向けエンタテイメントシステムにおける成績データを用いたユーザ解析,"User analysis using the results data in the entertainment system for science museum","[北田大樹,奈良優斗,和田考志,白井暁彦]","[KITADA TAIKI,NARA YUTO,WADA TAKASHI,SHIRAI AKIHIKO]",null,null,null,null,null,2013-03-08,映像情報メディア学会技術報告,映像情報メディア学会技術報告,37,"17(AIT2013 33-119)",219,222,jpn,false,false,null,null,null,null,1342-6893,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302287879486523,null,false,disclosed
insert,merge,null,15670830,"瞬刊少年マルマル(アニメーション,映像表現・芸術科学フォーラム2013)","Manga Generator","[奈良 優斗,小出 雄空明,藤村 航,白井 暁彦]","[NARA Yuto,KOIDE Yukua,FUJIMURA Wataru,SHIRAI Akihiko]",null,"本稿は,VRエンタテイメント作品『瞬刊少年マルマル』の特徴と制作についてのケーススタディを報告する.『瞬刊少年マルマル』は,体験者がマンガの主人公を演じることでオリジナルのマンガを作ることができるインタラクティブな作品である.","This article describes a case study about feature and creation of &quot;Manga Generator&quot;, an automatic cartoon generation VR entertainment which is a interactive creation to create user own cartoon creation by player&#039;s physical role playing as a hero in a story.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2013-03-08,映像情報メディア学会技術報告,"ITE Technical Report",37,17,125,128,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009597963,null,false,disclosed
insert,merge,null,15670829,"科学館向けエンタテイメントシステムにおける成績データを用いたユーザ解析(ポスター(生活支援・アート・可視化),映像表現・芸術科学フォーラム2013)","User analysis using the results data in the entertainment system for science museum","[北田 大樹,奈良 優斗,和田 考志,白井 暁彦]","[KITADA Taiki,NARA Yuto,WADA Takasi,SHIRAI Akihiko]",null,"本稿では,2012年7月21日〜9月2日に新潟県立自然科学館で開催された企画展「謎解きアドベンチャー失われた紋章」で使用したRFIDとデータベースサーバ,プロジェクションマッピングを用いた多人数が同時に参加できる科学クイズエンタテイメントシステムにおいて,サーバー側に記録されている体験者の成績データ群を分析し,体験者の傾向について報告をおこなう.従来の科学館向けエンタテイメントシステムの報告・調査では明らかにされてこなかった,体験者の科学理解の状況と紙メディアを使った具体的なフィードバック方法の提案をおこなう.","This article issues a case study about tendency of the experient in a science museum exhibition, &quot;Science Quest&quot; project which had been held in Niigata Science Museum from July 21, 2012 to September 2. The exhibition was physical human scale interactive system which uses science quiz, RFID and projection mapping to tell elemental science as a special exhibition in a summer holiday. Through a player analysis using post data from answered database of the experients, it reports a state of experients&#039; science understanding and difficulty in vocal interaction devices. Then it proposes actual method using paper media for a better science understanding.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2013-03-08,映像情報メディア学会技術報告,"ITE Technical Report",37,17,219,222,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009598209,null,false,disclosed
insert,merge,null,15670971,LCDプロジェクターを用いた偏光によるステレオ立体視のための画質向上アルゴリズム,LCDプロジェクターを用いた偏光によるステレオ立体視のための画質向上アルゴリズム,"[小出雄空明,白井暁彦]","[小出雄空明,白井暁彦]",null,null,null,null,null,2013-03-06,情報処理学会全国大会講演論文集,情報処理学会全国大会講演論文集,75th,2,2.431-2.432,null,jpn,false,false,null,null,null,null,null,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302251267252219,null,false,disclosed
insert,merge,null,15670972,奥行きカメラKinectを使った実験で試してわかる!誤認識しにくいジェスチャ入力の研究!,奥行きカメラKinectを使った実験で試してわかる!誤認識しにくいジェスチャ入力の研究!,"[白井暁彦,藤村航]","[白井暁彦,藤村航]",null,null,null,null,null,2013-01-01,インターフェース,インターフェース,39,1,130,138,jpn,false,false,null,null,null,null,0387-9569,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302297926497690,null,false,disclosed
insert,merge,null,15670831,"奥行きカメラKinectを使った実験で試してわかる! 誤認識しにくいジェスチャ入力の研究!",null,"[白井 暁彦,藤村 航]",null,null,null,null,CQ出版社,null,2013-01,インターフェース,null,39,1,130,138,jpn,false,false,null,null,null,null,0387-9569,null,http://ci.nii.ac.jp/naid/40019496802,null,false,disclosed
insert,merge,null,15670973,"UbiCode パブリックディスプレイへのインタラクティビティの追加","UbiCode パブリックディスプレイへのインタラクティビティの追加","[小出雄空明,奈良優斗,藤村渉,白井暁彦]","[小出雄空明,奈良優斗,藤村渉,白井暁彦]",null,null,null,null,null,2012-09-12,日本バーチャルリアリティ学会大会論文集(CD-ROM),日本バーチャルリアリティ学会大会論文集(CD-ROM),17th,null,ROMBUNNO.34E-1,null,jpn,false,false,null,null,null,null,1349-5062,null,http://jglobal.jst.go.jp/detail.php?from=API&JGLOBAL_ID=201302237205942399,null,false,disclosed
insert,merge,null,15670833,霧箱の動画像処理による空間放射線可視化システム,"Visualization system for radiation by the Video processing of the cloud chamber","[北田 大樹,白井 暁彦,鈴木 孝幸]",null,null,null,null,画像電子学会,null,2012-03-16,研究会講演予稿,null,261,null,140,143,jpn,false,false,null,null,null,null,0285-3957,null,http://ci.nii.ac.jp/naid/40019207600,null,false,disclosed
insert,merge,null,15670835,"多重化・隠蔽サイネージを用いた次世代カラオケ・エンタテイメントシステムの提案(ポスター展示(エンターテインメント・アニメーション),映像表現フォーラム)","Proposal of the next-generation karaoke entertainment system using multiplex-hidden digital signage","[小出 雄空明,小熊 遼,坂井 拓也,白井 暁彦]","[KOIDE Yukua,OGUMA Haruka,SAKAI Takuya,SHIRAI Akihiko]",null,"現在,世界中で楽しまれているカラオケ・エンタテイメントシステムであるが,音声を中心とした注文端末,高品質な映像が少ない,複数人での利用を行う場合等にシステムから享受できるエンタテイメントが減るという課題がある.これらの問題点を解決するため,多重化・隠蔽映像技術ScritterHによるサイネージを利用することで,注文端末のインターフェース改善や,UGCを用いたカラオケ画面の高品質化,ゲーム共存型カラオケ・エンタテイメントシステムといった,より高い一体感と満足度の向上につながる次世代カラオケ・エンタテイメントシステムの提案を行う.","This article focused to share a new concepts and prototypes of karaoke entertainment system that is widely entertained in the world. Current karaoke system has three big problems and they will be solved by using multiplex-hidden digital signage &quot;ScritterH&quot;. They are descrived as (1) hidden-multiplexed ordering terminal on the main screen, (2) Hidden-multiplexed user comments showing from network shared contents and (3) harmonized dance music game system with a karaoke music.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2012-03-09,映像情報メディア学会技術報告,"ITE Technical Report",36,16,11,12,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009437855,null,false,disclosed
insert,merge,null,15670834,"霧箱の動画像処理による空間放射線可視化システム(ポスター展示(立体映像・絵画・画像解析と可視化),映像表現フォーラム)","Visualization system for radiation by the Video processing of the cloud chamber","[北田 大樹,白井 暁彦,鈴木 孝幸]","[KITADA Taiki,SHIRAI Akihiko,SUZUKI Takayuki]",null,"福島第一原発事故発生による放射性物質拡散問題は,多くの人々が今後とも長期に渡って向き合っていかなければならない問題である.本研究は,目に見えない放射性物質を自作のガイガーカウンタや霧箱を用いて可視化することにより,社会に広がる「見えない恐怖」を科学理解によって克服するためのワークショップを開発している.本報告では,霧箱で観察できる自然放射線や放射性鉱石から発せられる放射線の撮影映像を動画像処理することで,方向および放射線源をより観察しやすくなる空間放射線可視化システムについて報告する.","This article reports about a new visualization system of radiation in cloud chamber using video processing. Radioactive pollution from Fukushima plant is an issue to be shared in social and global for a long time. Visualization solution has a value to tell the risk and mechanism of radiation and if it can be configured by daily materials, it can avoid radiation exposure for wider range of people like a science workshop tool.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2012-03-09,映像情報メディア学会技術報告,"ITE Technical Report",36,16,141,144,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009437894,null,false,disclosed
insert,merge,null,15670836,霧箱を使った科学コミュニケーションによる放射線理解の調査手法,"A new research method in science communication for radiation understanding by using a cloud chamber","[北田 大樹,白井 暁彦,鈴木 孝幸]",null,null,null,null,神奈川工科大学,null,2012-03,ITを活用した教育シンポジウム講演論文集,null,6,null,24,27,jpn,false,false,null,null,null,null,1881-6061,null,http://ci.nii.ac.jp/naid/40019226697,null,false,disclosed
insert,merge,null,15670837,"SDKとXNAでビデオや骨格情報を取り出してみよう Kinectセンサで自然なジェスチャ入力インターフェースを作る (特集 理論と評価手法からQtのGUI構築とKinectゲームまでが分かる ユーザ・インターフェースの基本原則と実践開発)","Exploiting Videos and the Wire Frame Information Using the SDK and XNA : Programming a Natural Gesture Input Interface Using Kinect Sensor","[白井 暁彦,小坂 崇之,藤村 航]",null,null,null,null,CQ出版社,null,2012-01,インターフェース,null,38,1,85,101,jpn,false,false,null,null,null,null,0387-9569,null,http://ci.nii.ac.jp/naid/40019075711,null,false,disclosed
insert,merge,null,15670832,SIGGRAPH2012見聞記,"“Current Topics of SIGGRAPH 2012”","[中嶋 正之,白井 暁彦]","[Masayuki Nakajima,Akihiko Shirai]",null,"今年で39回目となるSIGGRAPH2012は,8月5日(日)から8月9日(木)まで,米国カルフォルニア,ロサンゼルス・コンベンションセンタ(LACC)で,例年通り華やかに開催された.SIGGRAPHはACMに属する一つの研究会で,CG(Computer Graphics)やインタラクティブ技術に関する国際会議であり,CG,VR(Virtual Reality),アート,マルチメディアやゲームに関する最新の試みなどが発表され,本学会における極めて重要な会議である.本会議は,5日間にわたり,並列して多数のイベントが開催されており,すべてを聴講することは不可能であるが,今年もその概要を,例年通り報告することにする.",null,一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2012,"映像情報メディア学会誌 : 映像情報メディア","Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers",66,11,920,927,eng,false,false,null,null,null,10.3169/itej.66.920,1342-6907,null,http://ci.nii.ac.jp/naid/110009597749,null,false,disclosed
insert,merge,null,15670838,座長からの報告,null,"[北村 喜文,池井 寧,橋本 悠希,酒田 信親,長谷川 晶一,小木 哲朗,嵯峨 智,蔵田 武志,水野 統太,稲見 昌彦,古川 正紘,昆陽 雅司,佐藤 智和,田中 弘美,大谷 智子,小坂 崇之,雨宮 智浩,北原 格,黒田 嘉宏,橋田 朋子,伊藤 雄一,山本 豪志朗,久米 祐一郎,石井 裕剛,藤田 欣也,白井 暁彦,竹田 仰,榎並 和雅,脇田 航,柴田 史久,安藤 英由樹,筧 康明,新居 英明,牧野 泰才,清川 清,柳田 康幸,谷川 智洋,岡本 正吾]",null,null,null,null,null,null,2011-12-31,"日本バーチャルリアリティ学会誌 = Journal of the Virtual Reality Society of Japan",null,16,4,207,219,jpn,false,false,null,null,null,null,1342-6680,null,http://ci.nii.ac.jp/naid/10030202908,null,false,disclosed
insert,merge,null,15670843,"SIGGRAPH2011 見聞記",null,"[中嶋 正之,白井 暁彦]",null,null,"今年で38回目となるSIGGRAPH2011は,8月7日(日)から8月11日(木)まで,カナダ・バンクーバーのコンベンションセンタで,例年通り華やかに開催された.SIGGRAPHはACMに属する一つの研究会で,CG (Computer Graphics)やインタラクティブ技術に関する国際会議であり,CG, VR (Virtual Reality),アート,マルチメディアやゲームに関する最新の試みなどが発表される.今年もその概要を昨年に引き続き報告することにする.",null,一般社団法人映像情報メディア学会,null,2011-11-01,"映像情報メディア学会誌 : 映像情報メディア",null,65,11,1545,1552,jpn,false,false,null,null,null,10.3169/itej.65.1545,1342-6907,null,http://ci.nii.ac.jp/naid/110009669040,null,false,disclosed
insert,merge,null,15670842,"SIGGRAPH2011 見聞記","Current topics of SIGGRAPH 2011","[中嶋 正之,白井 暁彦]","[Masayuki Nakajima,Akihiko Shirai]",null,null,null,"The Institute of Image Information and Television Engineers","The Institute of Image Information and Television Engineers",2011,"The Journal of The Institute of Image Information and Television Engineers","Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers",65,11,1545,1552,jpn,false,false,null,null,null,10.3169/itej.65.1545,1342-6907,null,http://ci.nii.ac.jp/naid/130003384577,null,false,disclosed
insert,merge,null,15670839,SIGGRAPH2011見聞記,"Current topics of SIGGRAPH 2011","[中嶋 正之,白井 暁彦]","[Masayuki Nakajima,Akihiko Shirai]",null,null,null,映像情報メディア学会,null,2011,"映像情報メディア学会誌 : 映像情報メディア = The journal of the Institute of Image Information and Television Engineers","Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers",65,11,1545,1552,jpn,false,false,null,null,null,10.3169/itej.65.1545,1342-6907,null,http://ci.nii.ac.jp/naid/10030041063,null,false,disclosed
insert,merge,null,15670844,SIGGRAPH2010見聞記,null,"[中嶋 正之,白井 暁彦]",null,null,null,null,一般社団法人映像情報メディア学会,null,2010-10-01,"映像情報メディア学会誌 : 映像情報メディア",null,64,10,1452,1457,jpn,false,false,null,null,null,10.3169/itej.64.1452,1342-6907,null,http://ci.nii.ac.jp/naid/110009669269,null,false,disclosed
insert,merge,null,10594443,SIGGRAPH2010見聞記,"Current topics of SIGGRAPH 2010","[中嶋 正之,白井 暁彦]","[Masayuki Nakajima,Akihiko Shirai]",null,null,null,映像情報メディア学会,"Inst. of Image Information and Television Engineers",2010,"映像情報メディア学会誌 : 映像情報メディア = The journal of the Institute of Image Information and Television Engineers","Kyokai Joho Imeji Zasshi/Journal of the Institute of Image Information and Television Engineers",64,10,1452,1457,jpn,false,false,null,null,null,10.3169/itej.64.1452,1342-6907,null,http://ci.nii.ac.jp/naid/10026671550,null,false,disclosed
insert,merge,null,15670845,"第4回 実世界指向ゲームインタフェースによるインタラクション技術の基盤研究力強化(講座 ゲームとエンタテインメント技術)","(4) Basic Research Resource Enhancement of Interaction Techniques by Focusing to Physical-oriented Human Interfaces for Games(Technical Guide Games & Entertainment Technology)","[白井 暁彦]","[Shirai Akihiko]",null,null,null,一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2009-10-01,"映像情報メディア学会誌 : 映像情報メディア","The journal of the Institute of Image Information and Television Engineers",63,10,1394,1399,jpn,false,false,null,null,null,10.3169/itej.63.1394,1342-6907,null,http://ci.nii.ac.jp/naid/110009669505,null,false,disclosed
insert,merge,null,10649057,ゲームとエンタテインメント技術(第4回)実世界指向ゲームインタフェースによるインタラクション技術の基盤研究力強化,null,[白井暁彦],null,null,null,null,映像情報メディア学会,null,2009,映像情報メディア学会誌,null,63,10,1394,1399,null,false,false,null,null,null,10.3169/itej.63.1394,"[1342-6907,1881-6908]",null,http://ci.nii.ac.jp/naid/40016854694,null,false,disclosed
